URL,Nome do Produto,Codigo de Barras,Data da Coleta
https://meggaatacadista.com.br/vinho-portugues-periquita-white-750ml-11513-13,VINHO PORTUGUES PERIQUITA WHITE 750ML,5601174190006,2025-08-01T14:58:49.601988
https://meggaatacadista.com.br/vinho-portugues-periquita-original-750ml-11514-13,VINHO PORTUGUES PERIQUITA ORIGINAL 750ML,5601174204000,2025-08-01T14:58:51.711737
https://meggaatacadista.com.br/vinho-eua-woodbr-mondav-moscato-750ml--11515-13,Vinho Eua Woodbr Mondav Moscato 750ml,86003004108,2025-08-01T14:58:53.835538
https://meggaatacadista.com.br/vinho-eua-woodbridge-cab-sauv-750ml-11517-13,VINHO EUA WOODBRIDGE CAB SAUV 750ML,86003820036,2025-08-01T14:58:56.039271
https://meggaatacadista.com.br/vinho-chileno-st-helena-reservdo-sv-bl-750ml-11518-13,VINHO CHILENO ST HELENA RESERVDO SV BL 750ML,7804300003227,2025-08-01T14:58:58.239638
https://meggaatacadista.com.br/vinho-por-casal-garcia-sweet-verde-750ml-11519-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:00.320451
https://meggaatacadista.com.br/vinho-portugues-casal-garcia-ave-dro-750ml-11520-13,VINHO PORTUGUES CASAL GARCIA AVE DRO 750ML,5601096351301,2025-08-01T14:59:03.676334
https://meggaatacadista.com.br/vinho-portugues-casal-garcia-verde-750ml-11521-13,VINHO PORTUGUES CASAL GARCIA VERDE 750ML,5601096201309,2025-08-01T14:59:06.139296
https://meggaatacadista.com.br/vinho-argentino-crios-malbec-rose--11527-13,Vinho Argentino Crios Malbec Rose,7798068480249,2025-08-01T14:59:08.432573
https://meggaatacadista.com.br/vinho-chileno-chilenolano-carmenere-tto-750ml--11532-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:10.310562
https://meggaatacadista.com.br/vinho-australiano-yellow-tail-cab-sauv-tto-750ml---11541-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:12.373279
https://meggaatacadista.com.br/vinho-chileno-clas-venti-carmenere-tt-750ml--11542-13,Vinho Chileno Clas Venti Carmenere Tt 750ml,7808725402818,2025-08-01T14:59:24.707552
https://meggaatacadista.com.br/vinho-eua-trinchero-men-a-trois-silk-tto---11544-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:27.018114
https://meggaatacadista.com.br/vinho-frances-francesnc-beaus-bordeaux-bco---11548-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:28.972574
https://meggaatacadista.com.br/vinho-chileno-chilenolano-carb-sauv-tto-750ml--11557-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:30.810402
https://meggaatacadista.com.br/vinho-chileno-ventisqueiro-clas-cab-sv-750ml---11568-13,VINHO CHILENO VENTISQUEIRO CLAS CAB SV 750ML,7808725401385,2025-08-01T14:59:32.954421
https://meggaatacadista.com.br/vinho-chileno-clas-vent-merlot-tt-750ml--11570-13,Vinho Chileno Clas Vent Merlot Tt 750ml,7808725401392,2025-08-01T14:59:35.302569
https://meggaatacadista.com.br/vinho-eua-trinch-sut-ho-pinot-no-750ml---11582-13,VINHO EUA TRINCH SUT HO PINOT NO 750ML,852000004256,2025-08-01T14:59:37.739392
https://meggaatacadista.com.br/vinho-eua-sutter-home-chardon-750ml-11592-13,Vinho Eua Sutter Home Chardon 750ml,852000002658,2025-08-01T14:59:40.351626
https://meggaatacadista.com.br/vinho-portugues-ciconia-alentejo-rose-750ml---11596-13,VINHO PORTUGUES CICONIA ALENTEJO ROSE 750ML,5600391231592,2025-08-01T14:59:42.387018
https://meggaatacadista.com.br/vinho-portugues-quinta-de-bons-vent-bco-750ml---11599-13,VINHO PORTUGUES QUINTA DE BONS VENT BCO 750ML,5604424107052,2025-08-01T14:59:44.634183
https://meggaatacadista.com.br/vinho-portugues-quint-de-bons-ventos-750ml--11600-13,Vinho Portugues Quint De Bons Ventos 750ml,5604424108011,2025-08-01T14:59:46.963460
https://meggaatacadista.com.br/vinho-eua-sutter-home-cab-sauv-750ml-11643-13,Vinho Eua Sutter Home Cab Sauv 750ml,852000002580,2025-08-01T14:59:49.100453
https://meggaatacadista.com.br/ling-def-tp-calabresa-perdigao-25kg-11653-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:51.422303
https://meggaatacadista.com.br/coxao-mole-bov-masterboi-kg-11657-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:53.197914
https://meggaatacadista.com.br/vodka-absolut-750ml---11658-13,VODKA ABSOLUT 750ML,7312040017010,2025-08-01T14:59:55.505799
https://meggaatacadista.com.br/whisky-ballantines-12-anos-750ml---11659-13,Megga Atacadista,Não encontrado,2025-08-01T14:59:57.271070
https://meggaatacadista.com.br/whisky-ballantines-finest-750ml-11661-13,WHISKY BALLANTINES FINEST 750ML,5010106111451,2025-08-01T14:59:59.302625
https://meggaatacadista.com.br/whisky-chivas-12-anos-750ml-11662-13,WHISKY CHIVAS 12 ANOS 750ML,80432400395,2025-08-01T15:00:10.196285
https://meggaatacadista.com.br/espumante-sidra-cereser-m-verd-sa-660ml-11687-13,ESPUMANTE SIDRA CERESER M VERD S/A 660ML,7896072903560,2025-08-01T15:00:16.513586
https://meggaatacadista.com.br/vinho-portugues-quint-de-bons-ventos-ros-750ml---11714-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:19.057203
https://meggaatacadista.com.br/vinho-eua-trinch-sut-ho-bco-zi-ros-750ml--11725-13,Vinho Eua Trinch Sut Ho Bco Zi Ros 750ml,852000002962,2025-08-01T15:00:31.969623
https://meggaatacadista.com.br/margarina-cremosa-com-sal-qualy-qmix-pote-1kg-embalagem-economica-11746-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:34.602804
https://meggaatacadista.com.br/rum-bacardi-mojito-980ml---11755-13,RUM BACARDI MOJITO 980ML,7891125064465,2025-08-01T15:00:36.807856
https://meggaatacadista.com.br/licor-afr-amarula-cream-e-marula-f-750ml---11756-13,LICOR AFR AMARULA CREAM E MARULA F 750ML,6001495062508,2025-08-01T15:00:39.294995
https://meggaatacadista.com.br/whisky-teachers-1l---11759-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:41.364974
https://meggaatacadista.com.br/vodka-kadov-100-cereais-1000ml-11766-13,VODKA KADOV 100% CEREAIS 1000ML,7896072900385,2025-08-01T15:00:43.860477
https://meggaatacadista.com.br/vinho-portugues-ciconia-verde-750ml---11798-13,VINHO PORTUGUES CICONIA VERDE 750ML,5600391231264,2025-08-01T15:00:46.586936
https://meggaatacadista.com.br/frango-inteiro-seara-cmiudo-kg-aprox-2500-11807-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:48.478381
https://meggaatacadista.com.br/kani-kama-congelado-inak-250g---11811-13,KANI KAMA CONGELADO INAK 250G,7898278790012,2025-08-01T15:00:50.724616
https://meggaatacadista.com.br/contra-file-bovino-masterboi-congelado-kg-11821-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:53.034235
https://meggaatacadista.com.br/ave-natalina-sadia-supreme-temparada-kg-aprox-3500-11823-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:54.826296
https://meggaatacadista.com.br/vinho-brasileiro-dom-bosco-tinto-suave-1l-11827-13,VINHO BRASILEIRO DOM BOSCO TINTO SUAVE 1L,7896072912067,2025-08-01T15:00:57.262903
https://meggaatacadista.com.br/frango-inteiro-bip-galinha-velha-kg-aprox-45kg-11828-13,Megga Atacadista,Não encontrado,2025-08-01T15:00:59.172001
https://meggaatacadista.com.br/bisteca-suina-frimesa-cosso-iwp--kg-aprox-0900-11843-13,Megga Atacadista,Não encontrado,2025-08-01T15:01:01.385066
https://meggaatacadista.com.br/vodka-absolut-citron-citricas-750ml---11845-13,Megga Atacadista,Não encontrado,2025-08-01T15:01:05.070408
https://meggaatacadista.com.br/picanha-bovino-congelado-masterboi-congelado-aprox-18kg-11854-13,Nome não encontrado,Não encontrado,2025-08-01T15:01:06.164104
https://meggaatacadista.com.br/batata-tradicional--bat-9mm-bem-brasil-2kg-11863-13,Nome não encontrado,Não encontrado,2025-08-01T15:01:07.238192
https://meggaatacadista.com.br/batata-palito-tradicional-uai-2kg---11864-13,Nome não encontrado,Não encontrado,2025-08-01T15:01:08.302782
https://meggaatacadista.com.br/file-mignon-bov-masterboi-cong-kg-11872-13,Nome não encontrado,Não encontrado,2025-08-01T15:01:09.377295
https://meggaatacadista.com.br/vodka-absolut-vanilla-baunilha-750ml---11875-13,Nome não encontrado,Não encontrado,2025-08-01T15:01:10.444643
https://meggaatacadista.com.br/mistura-bolo-dona-benta-chocolate-5kg-11878-13,Megga Atacadista,Não encontrado,2025-08-01T15:01:22.114248
https://meggaatacadista.com.br/farinha-trigo-dona-benta-pro-pizza-5kg-11879-13,Megga Atacadista,Não encontrado,2025-08-01T15:01:24.099291
https://meggaatacadista.com.br/mistura-bolo-dona-benta-neutro-5kg-11880-13,Megga Atacadista,Não encontrado,2025-08-01T15:01:25.878200
https://meggaatacadista.com.br/mistura-bolo-dona-benta-laranja-5kg-11881-13,Megga Atacadista,Não encontrado,2025-08-01T15:01:27.698366
